Marka Kodu	Tip Kodu	Marka Adı	Tip Adı	2019	2018	2017	2016	2015	2014	2013	2012
114	1138	PEUGEOT	508 ACCESS 1.6 BLUEHDI 120 EAT6 S&S	0	0	0	1005520	863903	0	0	0
114	1137	PEUGEOT	508 ACCESS 1.6 BLUEHDI 120 S&S	0	0	0	904973	837934	0	0	0
114	1115	PEUGEOT	508 ACCESS 1.6 e-HDI 115 S&S ETG6	0	0	0	0	903929	806657	0	0
114	1108	PEUGEOT	508 ACTIVE 1.6 E-HDI 115 ETG6 S&S	0	0	0	0	907892	871214	0	0
114	1135	PEUGEOT	508 ACTIVE 1.6 THP 165 EAT6 S&S	0	1121264	1038199	961310	890110	0	0	0
114	1118	PEUGEOT	508 ACTIVE 1.6 THP 165 S&S OV	0	0	0	0	892288	0	0	0
114	1110	PEUGEOT	508 ALLURE 1.6 E-HDI 115 ETG6 S&S	0	0	0	0	1083340	957688	0	0
114	1109	PEUGEOT	508 ALLURE 1.6 THP 165 S&S OV	0	0	0	0	999365	824413	0	0
114	2053	PEUGEOT	508 BUSINESS 1.6 BLUEHDI 120 S&S	0	0	1056345	969113	0	0	0	0
114	1084	PEUGEOT	508 SW ACTIVE 1.6 HDI 115 AUTO6R S&S	0	0	0	0	875154	788244	0	0
114	1107	PEUGEOT	508 SW ACTIVE 1.6 THP 156 OV	0	0	0	0	820972	739425	0	0
89	1052	MAZDA	6 2.2 SKY-D POWER SENSE AT	0	0	0	1175580	1065659	0	0	0
9	1174	AUDI	A1 SPORTBACK 1.0 TFSI 95 BASIC S TRONIC PI	0	0	0	915767	888294	0	0	0
9	1289	AUDI	A1 SPORTBACK 1.0 TFSI 95 DYNAMIC S TRONIC	0	0	837793	0	0	0	0	0
9	1290	AUDI	A1 SPORTBACK 1.0 TFSI 95 SPORT S TRONIC	0	0	869172	0	0	0	0	0
9	1175	AUDI	A1 SPORTBACK 1.0 TFSI 95 SPORT S TRONIC PI	0	0	0	915767	888294	0	0	0
9	1315	AUDI	A1 SPORTBACK 1.4 TFSI 125 DYNAMIC S TRONIC	0	0	1019308	0	0	0	0	0
9	1178	AUDI	A1 SPORTBACK 1.6 TDI 116 BASIC S TRONIC PI	0	0	1054607	972014	942853	0	0	0
90	2124	MERCEDES	A180 CDI 1.5 STYLE	0	0	0	0	0	1008649	0	0
9	1182	AUDI	A3 SPORTBACK 1.2 TFSI 110 ATTRACTION	0	0	0	1061866	1030012	0	0	0
9	1219	AUDI	A3 SPORTBACK 1.2 TFSI 110 ATTRACTION STRONIC	0	0	0	1088468	0	0	0	0
19	1031	SEAT	ALTEA XL 1.6 TDI CR 105 I-TECH DSG	0	0	0	0	866889	778459	0	0
153	1178	VOLKSWAGEN	AMAROK 2.0 BITDI 140 HIGHLINE	0	0	0	0	0	891260	0	0
153	1135	VOLKSWAGEN	AMAROK 2.0 TDI (140) HIGHLINE	0	0	0	1053124	979405	891260	0	0
19	1099	SEAT	ARONA 1.0 ECOTSI 115 DSG S&S STYLE	0	1050319	938125	0	0	0	0	0
19	1098	SEAT	ARONA 1.0 ECOTSI 95 S&S STYLE	0	0	930753	0	0	0	0	0
111	1128	OPEL	ASTRA GTC 1.6 170 SPORT AT6	0	0	0	0	0	836260	0	0
111	1129	OPEL	ASTRA GTC 1.6 200 SPORT AT6	0	0	0	0	0	880826	0	0
111	1240	OPEL	ASTRA HB 1.0 105 MTA S&S DESIGN	0	0	0	775534	0	0	0	0
111	1648	OPEL	ASTRA HB 1.0 105 MTA S&S ENJOY	0	0	0	734683	0	0	0	0
111	1196	OPEL	ASTRA HB 1.3 DIZEL 95 EDITION PLUS	0	0	0	0	721197	0	0	0
111	1126	OPEL	ASTRA HB 1.3 DIZEL 95 ENJOY ACTIVE	0	0	0	0	0	626010	0	0
111	1124	OPEL	ASTRA HB 1.4 140 ENJOY ACTIVE	0	0	0	0	708771	629073	0	0
111	1125	OPEL	ASTRA HB 1.4 140 ENJOY ACTIVE ACTIVE SELECT	0	0	0	0	822881	751273	0	0
111	1241	OPEL	ASTRA HB 1.4 150 AT6 S&S ENJOY	0	1002628	905345	833645	0	0	0	0
111	1291	OPEL	ASTRA HB 1.4 150 AT6 S&S OPC LINE SPORT	0	0	1039676	0	0	0	0	0
111	1134	OPEL	ASTRA HB 1.6 DIZEL 110 ENJOY ACTIVE	0	0	0	0	737653	672651	0	0
111	1290	OPEL	ASTRA HB 1.6 DIZEL 110 MT6	0	0	841152	0	0	0	0	0
111	1135	OPEL	ASTRA HB 1.6 DIZEL 110 SPORT	0	0	0	0	0	706288	0	0
111	1137	OPEL	ASTRA HB 1.6 DIZEL 136 COSMO	0	0	0	0	905134	708744	0	0
111	1378	OPEL	ASTRA HB 1.6 DIZEL 136 ENJOY ACTIVE	0	0	0	0	0	722081	0	0
111	1136	OPEL	ASTRA HB 1.6 DIZEL 136 SPORT	0	0	0	0	780359	736992	0	0
111	1335	OPEL	ASTRA HB BLACK EDITION 1.4 150 AT6 S&S	0	1038596	0	0	0	0	0	0
111	1218	OPEL	ASTRA HB BUSINESS 1.6 DIZEL 110 MT6	0	0	0	0	789311	0	0	0
111	1219	OPEL	ASTRA HB BUSINESS 1.6 DIZEL 136 AT6	0	0	0	0	848893	0	0	0
111	1239	OPEL	ASTRA HB DESIGN 1.6 DIZEL 110 MT6	0	0	882789	778719	0	0	0	0
111	1260	OPEL	ASTRA HB DESIGN 1.6 DIZEL 136 AT6	0	1083560	957484	912510	0	0	0	0
111	1197	OPEL	ASTRA HB DIZEL 95 S&S EDITION PLUS	0	0	0	0	706307	0	0	0
111	1220	OPEL	ASTRA HB ENJOY 1.0 105 MT5 S&S	0	0	0	771646	655345	0	0	0
111	1289	OPEL	ASTRA HB ENJOY 1.4 100 MT6	0	0	748037	0	0	0	0	0
111	1222	OPEL	ASTRA HB ENJOY 1.6 DIZEL 110 MT6	0	0	878428	774833	701145	0	0	0
111	1224	OPEL	ASTRA HB ENJOY 1.6 DIZEL 136 AT6	0	1078526	1022927	953562	891473	0	0	0
111	1223	OPEL	ASTRA HB ENJOY 1.6 DIZEL 136 MT6 S&S	0	0	0	805048	731650	0	0	0
111	1244	OPEL	ASTRA NB 1.6 115 EDITION PLUS	0	799830	759683	705538	0	0	0	0
111	1247	OPEL	ASTRA NB 1.6 DIZEL 110 S&S DESIGN	0	901240	823854	752954	0	0	0	0
111	1248	OPEL	ASTRA NB 1.6 DIZEL 136 AT DESIGN	0	975926	897642	850284	0	0	0	0
111	1245	OPEL	ASTRA NB 1.6 DIZEL 136 AT EDITION PLUS	0	0	0	823217	0	0	0	0
111	1253	OPEL	ASTRA NB 1.6 DIZEL 136 AT ELITE	0	1104222	971941	899312	0	0	0	0
111	1251	OPEL	ASTRA NB 1.6 DIZEL 136 AT SPORT	0	1099994	981653	902920	0	0	0	0
111	1252	OPEL	ASTRA NB 1.6 DIZEL 136 S&S ELITE	0	0	965199	930750	0	0	0	0
111	1250	OPEL	ASTRA NB 1.6 DIZEL 136 S&S SPORT	0	0	958535	920479	0	0	0	0
111	1164	OPEL	ASTRA SEDAN 1.4 140 BUSINESS LPG	0	0	0	0	659966	0	0	0
111	1182	OPEL	ASTRA SEDAN 1.6 115 EDITION OV	0	0	0	0	597228	0	0	0
111	1141	OPEL	ASTRA SEDAN 1.6 DIZEL 110 BUSINESS	0	0	0	0	700779	643643	0	0
111	1139	OPEL	ASTRA SEDAN 1.6 DIZEL 110 EDITION	0	0	0	0	663625	659599	0	0
